File Description,File Path,Redirect,Category
Summer 2023 - Florida Grouper with Citrus Salad,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-grouper.pdf,Yes,Florida Recipes for Safety TIP Cards
Summer 2023 - Florida Shrimp Citrus Sauté,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-shrimp-saut%C3%A9.pdf,Yes,Florida Recipes for Safety TIP Cards
Summer 2023 - Roasted Florida Snapper Street Tacos with Avocado Crema,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-snapper-tacos.pdf,Yes,Florida Recipes for Safety TIP Cards
Fall 2023 - Broiled Florida Oysters,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-broiled-florida-oysters-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Fall 2023 - Florida Sweet Corn and Ricotta Fritters,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-fl-corn-ricotta-fritters-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Fall 2023 - Florida Tomato and Sweet Pepper Soup,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-fl-tomato-pepper-soup-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Fall 2023 - Stuffed Florida Zucchini and Yellow Squash Parmesan,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-fl-zucchini-squash-parm-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Winter 2023 - Florida Strawberry Stuffed French Toast,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-strawberry-french-toast-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Winter 2023 - Florida Mushroom Bisque,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-mushroom-bisque-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Winter 2023 - Florida Strawberry and Citrus Shortcake,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-strawberry-shortcake-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
"Winter 2023 - Florida Escarole, Tomato, and White Bean Soup",http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-white-bean-soup-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
Speeding (5x7),http://officeofsafety.abc/wp-content/uploads/2024/10/tz-behavior-change-banners-speeding-5x7.pdf,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Target Zero Speeding Thumbnail (300x250),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_speeding_media-buy_300x250_.jpg,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Target Zero Speeding Thumbnail (640x640),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_speeding_media-buy_640x640_.jpg,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Target Zero Speeding Audio (15 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_speeding_15_audio.mp3,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Target Zero Speeding Audio (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_speeding_30_audio.mp3,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Target Zero Speeding Video (15 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_speeding_15s.mp4,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Target Zero Speeding Video (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_speeding_30.mp4,Yes,"Time Management (Speeding) Resources:
“Leave a little early or be a little late. Just get there safely.”"
Aggressive Driving (5x7),http://officeofsafety.abc/wp-content/uploads/2024/10/tz-behavior-change-banners-aggressive-5x7.pdf,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Target Zero Aggressive Driving Thumbnail (300x250),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_aggressive_300x250_pandora-soundcloud.jpg,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Target Zero Aggressive Driving Thumbnail (640x640),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_aggressive_640x640_spotify.jpg,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Target Zero Aggressive Driving Audio (15 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_aggressive_radio_15s_audio.mp3,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Target Zero Aggressive Driving Audio (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_aggressive_radio_30s_audio.mp3,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Target Zero Aggressive Driving Video (15 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_aggressive_15s.mp4,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Target Zero Aggressive Driving Video (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_aggressive_30s.mp4,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Speeding and Aggressive Campaign Driving Video (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/speeding_aggressive_distracted_samsung_vizio_youtube_30.mp4,Yes,"Stress Management (Aggressive) Resources
“Embrace the space. Keep the distance
from the driver in front of you."""
Distracted Driving (5x7),http://officeofsafety.abc/wp-content/uploads/2024/10/tz-behavior-change-banners-distracted-5x7.pdf,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Target Zero Distracted Driving Thumbnail (300x250),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_distracted_media-buy_300x250.jpg,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Target Zero Distracted Driving Thumbnail (640x640),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_tz_distracted_media-buy_640x640.jpg,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Target Zero Distracted Driving Audio (15 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/10162022_radio_distraction_mediabuy_radio_15s.mp3,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Target Zero Distracted Driving Audio (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/10162022_radio_distraction_mediabuy_radio_30s_mixdown.mp3,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Target Zero Distracted Driving Video (15 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_distraction_mediabuy_15s.mp4,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Target Zero Distracted Driving Video (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_distraction_mediabuy_30s.mp4,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Distracted Driving Campaign Video (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/multitasking_distraction_samsung_vizio_youtube_30.mp4,Yes,"Multitasking (Distracted Driving)
“Drive time is you time. Ride with Do Not Disturb.”"
Seatbelt Safety Campaign Video (30 seconds),http://officeofsafety.abc/wp-content/uploads/2024/10/seatbelts_samsung_vizio_youtube_30.mp4,Yes,"Seatbelt Safety: “Buckle Up Every Trip, Every Time”"
